# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
   83       2.960042213487e-10       6.843503321976e-14      -1.664842920271e-12       2.829198401090e-16      -5.245044413496e-16       1.895344185984e-15       1.594210637545e-11       2.101515305084e-12      -8.082013981726e-15 
   84       2.997354693999e-10       7.047753124428e-14      -1.743022634500e-12       2.899123890548e-16      -5.440799995608e-16       2.412011552441e-15       1.547336517176e-11       2.051056962531e-12      -7.990261104796e-15 
   85       3.034970631281e-10       7.253083427279e-14      -1.822280750796e-12       2.969947293071e-16      -5.640230352225e-16       2.951477448924e-15       1.502141169609e-11       2.002235592271e-12      -7.909639452328e-15 
   86       3.072896525702e-10       7.459333509469e-14      -1.902568486310e-12       3.041671489069e-16      -5.843277041772e-16       3.513912162128e-15       1.458622092244e-11       1.955056343252e-12      -7.839114527130e-15 
   87       3.111136851813e-10       7.666338197361e-14      -1.983835512181e-12       3.114299475683e-16      -6.049876343928e-16       4.099465856010e-15       1.416757200113e-11       1.909503944854e-12      -7.777467406861e-15 
   88       3.149693949469e-10       7.873927866809e-14      -2.066029966269e-12       3.187834370009e-16      -6.259959161387e-16       4.708268001734e-15       1.376504013972e-11       1.865541844241e-12      -7.723288385181e-15 
   89       3.188567914952e-10       8.081928445235e-14      -2.149098465886e-12       3.262279412313e-16      -6.473450921623e-16       5.340426807617e-15       1.337798848383e-11       1.823111343720e-12      -7.674970612895e-15 
   90       3.227756492092e-10       8.290161413692e-14      -2.232986120532e-12       3.337637969246e-16      -6.690271478653e-16       5.996028649081e-15       1.300555999801e-11       1.782130738091e-12      -7.630703739098e-15 
   91       3.267254963390e-10       8.498443808943e-14      -2.317636544623e-12       3.413913537069e-16      -6.910335014798e-16       6.675137498597e-15       1.264666934664e-11       1.742494452008e-12      -7.588467552330e-15 
   92       3.307056041140e-10       8.706588225525e-14      -2.402991870231e-12       3.491109744863e-16      -7.133549942450e-16       7.377794355635e-15       1.229999477474e-11       1.704072177333e-12      -7.546025621715e-15 
   93       3.347152395705e-10       8.914405589773e-14      -2.488992771065e-12       3.569230439126e-16      -7.359819735203e-16       8.104018571077e-15       1.196429184456e-11       1.666741349622e-12      -7.501375212841e-15 
