sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
70,2.108,0.671,-0.66,0.192,-1.016,0.254,-0.618,0.199,-0.03,0.256,-0.633,0.189,53.201
71,0.919,0.664,-0.12,0.189,-0.318,0.25,-0.066,0.195,-0.143,0.255,-0.176,0.183,79.243
72,-2.336,0.632,0.621,0.182,0.17,0.236,0.506,0.187,0.537,0.245,0.597,0.175,65.046
73,0.618,0.68,-0.102,0.195,-0.043,0.244,0.056,0.203,-0.164,0.256,-0.129,0.188,153.426
74,1.257,0.669,-0.524,0.19,-0.724,0.248,-0.469,0.193,-0.473,0.263,-0.476,0.188,64.095
75,0.947,0.672,-0.222,0.192,0.099,0.238,-0.242,0.201,-0.349,0.252,-0.235,0.187,85.545
76,1.27,0.698,-0.232,0.201,-0.129,0.251,-0.163,0.21,0.058,0.277,-0.172,0.198,67.137
77,0.543,0.668,0.002,0.193,-0.129,0.256,-0.023,0.191,0.147,0.254,-0.08,0.188,57.372
78,-0.91,0.729,0.322,0.205,0.423,0.257,0.341,0.212,0.516,0.27,0.335,0.201,75.964
79,2.858,0.649,-0.688,0.182,-0.616,0.237,-0.484,0.199,-0.61,0.248,-0.681,0.181,76.768
80,-2.339,0.678,0.756,0.199,1.265,0.257,0.698,0.2,1.17,0.272,0.746,0.189,67.978
81,1.417,0.677,-0.592,0.193,-0.584,0.244,-0.497,0.2,-0.512,0.254,-0.499,0.192,83.496
82,0.98,0.695,-0.103,0.189,-0.037,0.257,-0.253,0.201,0.153,0.263,-0.178,0.196,84.311
83,1.787,0.649,-0.539,0.19,-1.029,0.244,-0.432,0.189,-0.093,0.256,-0.515,0.184,82.882
84,-0.683,0.669,0.271,0.188,0.189,0.243,0.231,0.197,0.38,0.256,0.247,0.189,50.004
85,0.254,0.663,-0.044,0.19,0.1,0.239,0.037,0.195,-0.01,0.257,-0.086,0.19,101.551
86,0.416,0.703,-0.309,0.204,-0.543,0.244,-0.147,0.206,-0.051,0.264,-0.237,0.195,115.478
